hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,0.3,0.1,0.2,0.0,0.0
1,0.0,0.1,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.2,0.0,0.0,0.4
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.1,0.0
8,0.0,0.0,0.0,0.0,0.4
9,0.3,0.0,0.0,0.0,1.2
10,0.0,0.0,0.0,0.0,0.9
11,0.2,0.3,0.0,0.0,1.1
12,0.5,0.1,0.5,0.0,1.9
13,0.3,0.1,0.6,0.0,6.1
14,0.2,0.2,0.1,0.0,1.6
15,0.3,0.0,0.1,0.0,3.0
16,0.4,0.1,0.0,0.1,4.9
17,0.3,0.1,0.4,0.0,4.7
18,0.0,0.0,0.2,0.0,4.1
19,0.1,0.1,0.0,0.1,2.3
20,0.2,0.1,0.0,0.0,3.2
21,0.6,0.0,0.1,0.0,2.2
22,0.4,0.1,0.4,0.0,1.8
23,0.1,0.1,0.0,0.1,0.6
24,4.4,1.9,2.6,0.4,40.7
