hour,GRN,RVRTB,PGPH5,PGPH2,SH
0,0.0,0.0,0.0,0.0,0.0
1,0.2,2.6,0.2,0.2,1.5
2,0.2,0.0,0.0,0.0,0.7
3,0.0,0.2,0.0,0.0,0.4
4,0.0,0.2,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.2
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.2,0.0,0.0,0.0,0.2
9,0.4,0.4,0.2,0.0,0.2
10,0.4,0.9,0.2,0.0,0.0
11,0.7,0.7,0.7,0.0,0.7
12,0.2,1.3,0.0,0.0,1.1
13,1.3,1.1,0.2,0.2,0.7
14,1.1,1.5,0.2,0.0,1.8
15,1.1,1.1,0.2,0.0,0.9
16,0.7,0.7,0.0,0.0,0.9
17,0.2,1.8,0.0,0.0,1.1
18,1.1,0.9,0.0,0.2,1.5
19,0.2,0.4,0.2,0.0,1.8
20,0.4,0.9,0.0,0.0,2.4
21,0.4,1.1,0.2,0.0,0.7
22,0.9,1.5,0.0,0.2,0.9
23,0.4,0.9,0.0,0.0,0.4
24,10.4,18.3,2.4,0.9,18.1
