hour,GRN,SH,RVRTB,PGPH2,PGPH5
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.2,0.4,0.0,0.0
2,0.1,0.2,0.2,0.0,0.0
3,0.0,0.2,0.1,0.1,0.0
4,0.0,0.1,0.1,0.1,0.0
5,0.0,0.1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.1,0.0,0.1,0.0
8,0.0,0.1,0.0,0.1,0.0
9,0.3,0.1,0.0,0.0,0.1
10,0.1,0.1,0.1,0.0,0.1
11,0.6,0.3,0.4,0.0,0.1
12,0.9,0.4,0.4,0.0,0.3
13,2.2,0.3,0.6,0.0,0.2
14,1.2,0.5,0.9,0.0,0.3
15,2.3,0.6,1.1,0.0,0.3
16,2.1,0.7,0.7,0.0,0.3
17,2.3,0.6,1.2,0.0,0.4
18,2.3,0.9,0.9,0.1,0.2
19,3.1,0.7,1.2,0.0,0.3
20,2.3,1.0,0.5,0.1,0.3
21,1.6,0.5,0.8,0.0,0.4
22,1.9,0.6,0.8,0.1,0.3
23,1.2,0.4,0.7,0.0,0.3
24,24.8,8.9,10.9,1.3,4.1
