dorm,type,value
SH,uniqueDevices,1956
SH,stayHome,1840
SH,changeLevel,376
SH,localNeighborhood,796
SH,campus,914
SH,leftCampus,914
RVRTB,uniqueDevices,1384
RVRTB,stayHome,1322
RVRTB,changeLevel,272
RVRTB,localNeighborhood,594
RVRTB,campus,218
RVRTB,leftCampus,812
GRN,uniqueDevices,3746
GRN,stayHome,4024
GRN,changeLevel,114
GRN,localNeighborhood,10996
GRN,campus,4384
GRN,leftCampus,1118
PGPH5,uniqueDevices,384
PGPH5,stayHome,444
PGPH5,changeLevel,32
PGPH5,localNeighborhood,328
PGPH5,campus,532
PGPH5,leftCampus,208
PGPH2,uniqueDevices,222
PGPH2,stayHome,292
PGPH2,changeLevel,24
PGPH2,localNeighborhood,118
PGPH2,campus,190
PGPH2,leftCampus,130
