day, hour, # unique devices, # stay at home, # change level, # local neighbourhood, # campus, # left campus 
7,0,40,47,0,118,6,0
7,1,21,17,4,36,2,1
7,2,18,22,0,30,1,5
7,3,17,15,4,30,6,4
7,4,6,7,0,12,0,0
7,5,3,2,2,29,0,2
7,6,5,4,1,5,0,1
7,7,10,12,0,46,9,0
7,8,19,20,0,53,12,0
7,9,35,36,1,103,21,4
7,10,47,54,0,156,42,5
7,11,79,86,5,233,37,11
7,12,138,163,4,469,72,14
7,13,119,133,3,484,84,15
7,14,78,86,4,292,50,21
7,15,72,80,2,221,37,27
7,16,77,82,4,241,40,34
7,17,94,107,0,297,64,42
7,18,117,145,1,362,74,54
7,19,118,136,1,476,57,66
7,20,98,108,6,291,69,44
7,21,64,66,5,157,48,31
7,22,70,82,3,213,27,32
7,23,58,58,4,178,36,31
7,24,1403,1568,54,4532,794,444
8,0,23,27,0,77,1,0
8,1,24,31,1,58,3,1
8,2,16,17,1,40,1,0
8,3,8,11,0,17,0,1
8,4,2,2,0,3,0,0
8,5,0,0,0,0,0,0
8,6,4,4,0,25,5,0
8,7,11,11,0,15,6,0
8,8,35,39,1,112,18,3
8,9,37,36,2,83,23,6
8,10,48,54,3,121,34,4
8,11,84,98,1,270,37,13
8,12,107,117,5,330,55,17
8,13,127,138,12,431,30,31
8,14,79,82,6,205,27,25
8,15,76,90,4,215,19,33
8,16,73,82,0,168,26,30
8,17,112,128,2,403,50,58
8,18,123,148,5,436,48,57
8,19,129,151,2,446,57,53
8,20,83,98,1,314,32,33
8,21,0,0,0,0,0,0
8,22,0,0,0,0,0,0
8,23,0,0,0,0,0,0
8,24,1201,1364,46,3769,472,365
6,0,41,45,0,77,12,0
6,1,28,29,5,89,6,6
6,2,11,13,0,39,10,1
6,3,9,10,1,33,18,1
6,4,6,7,0,14,1,1
6,5,2,2,0,4,3,0
6,6,3,3,0,5,1,1
6,7,17,17,1,47,25,1
6,8,59,58,2,145,98,6
6,9,84,89,1,211,159,6
6,10,83,89,0,201,98,7
6,11,127,133,6,386,213,21
6,12,158,170,2,580,195,23
6,13,144,148,2,504,218,26
6,14,121,124,6,372,190,34
6,15,107,117,3,295,169,37
6,16,124,132,3,349,161,52
6,17,124,134,5,345,164,54
6,18,146,169,2,415,88,72
6,19,155,172,1,467,102,58
6,20,110,119,7,362,80,45
6,21,92,100,4,264,70,50
6,22,65,71,2,170,81,32
6,23,57,61,4,124,30,25
6,24,1873,2012,57,5498,2192,559
5,0,38,47,0,99,2,0
5,1,20,20,1,48,6,0
5,2,14,16,1,29,0,2
5,3,2,2,0,2,1,0
5,4,13,13,0,26,0,1
5,5,7,7,0,15,16,1
5,6,3,3,0,6,0,0
5,7,4,4,0,24,0,0
5,8,26,28,1,81,17,1
5,9,60,64,2,187,53,7
5,10,65,67,2,154,37,3
5,11,82,90,3,248,46,13
5,12,161,179,1,598,81,20
5,13,271,322,6,1040,259,50
5,14,142,159,5,509,70,26
5,15,115,114,5,311,129,53
5,16,178,199,3,619,206,48
5,17,162,185,1,736,198,52
5,18,168,186,5,653,175,53
5,19,149,173,1,599,98,71
5,20,116,134,2,348,137,51
5,21,71,86,2,193,94,37
5,22,94,101,4,217,75,43
5,23,52,53,2,90,27,27
5,24,2013,2252,47,6832,1727,559
