 hour, # unique devices, # stay at home, # change level, # local neighbourhood, # campus, # left campus ,day
0,21,24,0,2,7,0,5
1,14,3,12,0,0,8,5
2,6,7,0,0,0,5,5
3,5,4,1,0,0,3,5
4,3,2,1,0,0,3,5
5,0,0,0,0,0,0,5
6,0,0,0,0,0,0,5
7,1,2,0,0,0,0,5
8,3,3,0,1,0,0,5
9,8,10,2,4,1,0,5
10,8,7,4,0,0,2,5
11,18,17,3,1,0,10,5
12,28,25,6,19,20,9,5
13,35,32,5,23,25,13,5
14,35,33,7,8,6,21,5
15,30,28,5,7,4,24,5
16,29,34,3,15,1,15,5
17,49,49,8,30,19,26,5
18,32,31,4,21,7,20,5
19,32,33,2,21,0,26,5
20,24,23,4,3,0,11,5
21,32,30,5,9,4,17,5
22,29,29,7,11,15,19,5
23,25,26,4,3,1,15,5
24,467,452,83,178,110,247,5
0,17,18,0,1,0,0,6
1,17,9,9,0,0,6,6
2,11,9,2,0,0,8,6
3,9,11,0,0,0,6,6
4,8,7,1,1,0,3,6
5,6,8,0,0,0,4,6
6,7,5,2,0,0,4,6
7,10,9,2,7,0,7,6
8,16,17,2,6,0,7,6
9,27,29,1,12,8,7,6
10,43,44,10,41,9,18,6
11,49,47,11,25,2,23,6
12,39,35,10,21,15,21,6
13,55,50,13,66,19,33,6
14,45,44,6,26,11,27,6
15,55,54,10,22,10,33,6
16,46,46,10,16,17,26,6
17,43,40,11,9,6,34,6
18,36,41,7,23,6,25,6
19,50,46,11,7,0,32,6
20,33,25,9,3,0,25,6
21,32,32,4,5,0,25,6
22,21,20,2,4,6,17,6
23,17,15,3,2,0,15,6
24,692,661,136,297,109,406,6
0,18,21,0,1,0,0,8
1,12,6,7,0,0,6,8
2,6,4,2,0,0,2,8
3,6,4,2,0,0,3,8
4,4,4,0,0,0,4,8
5,4,4,0,0,0,3,8
6,3,3,0,0,0,3,8
7,9,10,0,2,0,6,8
8,15,18,1,2,0,4,8
9,14,11,5,0,0,7,8
10,18,17,4,3,1,7,8
11,17,20,2,5,0,12,8
12,22,17,6,15,16,14,8
13,26,24,4,11,12,14,8
14,19,22,2,4,0,14,8
15,22,17,5,1,1,15,8
16,17,15,2,3,1,14,8
17,25,22,5,9,0,20,8
18,28,25,7,8,1,19,8
19,38,38,8,6,9,27,8
20,22,19,6,14,11,20,8
21,0,0,0,0,0,0,8
22,0,0,0,0,0,0,8
23,0,0,0,0,0,0,8
24,345,321,68,84,52,214,8
0,17,18,0,2,0,0,7
1,15,9,7,0,0,6,7
2,13,9,4,2,0,7,7
3,7,6,1,0,0,4,7
4,8,10,1,0,0,6,7
5,3,3,0,0,0,3,7
6,3,3,0,0,0,3,7
7,8,7,1,0,0,6,7
8,14,15,1,4,0,7,7
9,20,26,3,6,0,10,7
10,19,22,2,8,0,7,7
11,19,19,2,7,2,8,7
12,19,22,3,12,6,13,7
13,18,21,1,4,1,11,7
14,20,26,1,10,1,13,7
15,17,17,3,20,1,12,7
16,15,17,1,4,5,6,7
17,24,16,10,5,0,19,7
18,27,27,4,26,8,16,7
19,29,32,6,9,9,23,7
20,20,22,1,3,0,15,7
21,18,19,3,10,0,16,7
22,19,18,2,8,8,14,7
23,19,21,4,0,0,15,7
24,391,405,61,140,41,240,7
