day,hour, # unique devices, # stay at home, # change level, # local neighbourhood, # campus, # left campus 
6,0,29,39,0,3,0,0
6,1,19,17,6,1,0,5
6,2,23,29,2,5,2,6
6,3,12,10,5,0,0,7
6,4,8,8,0,6,0,3
6,5,9,6,3,0,0,6
6,6,4,7,0,0,0,4
6,7,17,17,2,1,2,4
6,8,18,17,2,5,4,5
6,9,47,44,7,12,20,11
6,10,47,49,6,17,50,12
6,11,47,47,8,33,8,22
6,12,66,58,16,55,46,23
6,13,62,57,11,19,42,18
6,14,64,56,14,35,57,30
6,15,56,56,9,43,38,32
6,16,60,59,9,33,31,38
6,17,52,41,14,33,43,36
6,18,75,62,19,28,22,45
6,19,78,68,20,24,11,43
6,20,62,55,12,19,45,34
6,21,49,51,7,5,14,33
6,22,43,42,8,17,20,21
6,23,31,25,8,4,2,19
6,24,978,920,188,398,457,457
5,0,20,24,0,12,12,0
5,1,19,13,7,2,0,4
5,2,16,18,3,1,2,5
5,3,6,5,2,0,0,5
5,4,6,7,0,0,2,2
5,5,7,10,1,2,0,3
5,6,4,6,0,0,0,1
5,7,5,5,0,0,0,2
5,8,5,4,1,3,0,3
5,9,9,8,1,4,13,3
5,10,12,12,0,9,0,2
5,11,12,10,3,9,9,6
5,12,27,23,5,15,23,9
5,13,25,22,3,8,12,6
5,14,29,24,8,3,10,11
5,15,31,31,4,5,11,14
5,16,25,29,4,10,19,16
5,17,31,26,5,11,13,14
5,18,34,34,7,7,2,21
5,19,41,36,8,11,5,16
5,20,48,40,11,7,9,23
5,21,23,21,3,8,24,11
5,22,32,35,4,6,16,14
5,23,29,33,2,5,4,9
5,24,496,476,82,138,186,200
7,0,21,23,0,7,24,0
7,1,18,21,2,5,3,4
7,2,14,11,5,1,3,4
7,3,8,13,2,0,0,4
7,4,6,11,1,0,0,2
7,5,5,6,1,0,0,2
7,6,4,8,0,1,0,2
7,7,11,13,1,4,14,2
7,8,18,20,2,0,0,5
7,9,41,45,6,6,0,12
7,10,31,40,6,1,2,15
7,11,37,38,6,12,14,18
7,12,51,58,5,26,29,19
7,13,61,57,12,47,63,27
7,14,44,40,7,7,7,23
7,15,48,46,7,7,4,28
7,16,38,39,6,14,1,25
7,17,50,43,12,16,11,37
7,18,43,44,10,16,7,30
7,19,62,52,20,7,5,41
7,20,35,33,8,6,10,24
7,21,32,30,6,12,22,21
7,22,32,22,12,7,2,24
7,23,23,20,7,2,0,20
7,24,733,733,144,204,221,389
8,0,22,22,0,3,0,0
8,1,16,18,6,2,1,7
8,2,9,11,0,0,0,2
8,3,8,8,0,2,2,3
8,4,7,6,1,1,0,4
8,5,3,5,0,0,0,3
8,6,5,9,1,0,0,3
8,7,11,18,0,1,9,2
8,8,23,33,1,8,13,4
8,9,24,21,7,1,0,9
8,10,19,18,2,14,3,8
8,11,27,25,3,1,2,9
8,12,35,38,6,8,8,12
8,13,45,41,9,24,24,23
8,14,30,34,7,7,30,17
8,15,29,28,7,6,19,18
8,16,16,19,1,3,0,11
8,17,39,34,14,16,11,27
8,18,37,31,9,7,4,24
8,19,43,36,10,6,1,23
8,20,36,28,13,3,3,25
8,21,0,0,0,0,0,0
8,22,0,0,0,0,0,0
8,23,0,0,0,0,0,0
8,24,484,483,97,113,130,234
