day,hour,Dorms_Total
11.0,0.0,0.0
11.0,1.0,0.0
11.0,2.0,0.0
11.0,3.0,0.0
11.0,4.0,0.0
11.0,5.0,0.0
11.0,6.0,0.0
11.0,7.0,0.0
11.0,8.0,0.0
11.0,9.0,8261.0
11.0,10.0,8868.0
11.0,11.0,9191.0
11.0,12.0,9408.0
11.0,13.0,0.0
11.0,14.0,9584.0
11.0,15.0,9653.0
11.0,16.0,9582.0
11.0,17.0,9606.0
11.0,18.0,9609.0
11.0,19.0,9576.0
11.0,20.0,9454.0
11.0,21.0,9524.0
11.0,22.0,10098.0
11.0,23.0,9655.0
12.0,0.0,9483.0
12.0,1.0,8437.0
12.0,2.0,6956.0
12.0,3.0,0.0
12.0,4.0,0.0
12.0,5.0,0.0
12.0,6.0,0.0
12.0,7.0,0.0
12.0,8.0,0.0
12.0,9.0,0.0
12.0,10.0,0.0
12.0,11.0,0.0
12.0,12.0,0.0
12.0,13.0,0.0
12.0,14.0,0.0
12.0,15.0,0.0
12.0,16.0,8138.0
12.0,17.0,576.0
12.0,18.0,3698.0
12.0,19.0,366.0
12.0,20.0,124.0
12.0,21.0,0.0
12.0,22.0,132.0
12.0,23.0,216.0
13.0,0.0,132.0
13.0,1.0,249.0
13.0,2.0,0.0
13.0,3.0,138.0
13.0,4.0,0.0
13.0,5.0,0.0
13.0,6.0,0.0
13.0,7.0,2113.0
13.0,8.0,110.0
13.0,9.0,241.0
13.0,10.0,234.0
13.0,11.0,0.0
13.0,12.0,0.0
13.0,13.0,0.0
13.0,14.0,0.0
13.0,15.0,0.0
13.0,16.0,0.0
13.0,17.0,0.0
13.0,18.0,0.0
13.0,19.0,0.0
13.0,20.0,0.0
13.0,21.0,0.0
13.0,22.0,0.0
13.0,23.0,0.0
