day,hour,BLK13_GE1,BLK20_GE1,EH,KE7,KFH,KR,PGP,RH,RVR,SH,TMH,UT_A,UT_C,UT_GRN,UT_GRS,UT_K,UT_T
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,9.0,7.0,6.0,0.0,5.0,4.0,6.0,8.0,4.0,5.0,1.0,0.0,30.0,26.0,31.0,33.0,57.0,10.0
11.0,10.0,4.0,8.0,2.0,2.0,2.0,7.0,8.0,2.0,6.0,2.0,0.0,41.0,46.0,43.0,28.0,45.0,16.0
11.0,11.0,7.0,9.0,0.0,9.0,4.0,15.0,14.0,3.0,7.0,3.0,1.0,19.0,10.0,49.0,60.0,21.0,15.0
11.0,12.0,4.0,5.0,3.0,3.0,3.0,11.0,14.0,5.0,7.0,3.0,1.0,28.0,37.0,88.0,67.0,20.0,19.0
11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,14.0,5.0,8.0,2.0,5.0,4.0,8.0,8.0,5.0,4.0,4.0,0.0,18.0,33.0,83.0,58.0,13.0,25.0
11.0,15.0,5.0,1.0,2.0,3.0,2.0,11.0,18.0,1.0,7.0,3.0,0.0,24.0,17.0,61.0,58.0,19.0,13.0
11.0,16.0,5.0,4.0,1.0,1.0,0.0,6.0,13.0,2.0,10.0,4.0,0.0,5.0,14.0,52.0,51.0,23.0,11.0
