day,hour,BLK13_GE1,BLK20_GE1,EH,KE7,KFH,KR,PGP,RH,RVR,SH,TMH,UT_A,UT_C,UT_GRN,UT_GRS,UT_K,UT_T
11,9,1,3,73,98,34,100,3414,44,456,86,89,397,500,1001,1001,471,493
11,10,2,2,75,90,36,108,3647,46,494,83,102,432,548,1084,1094,499,526
11,11,1,3,89,97,51,107,3813,32,500,91,95,455,564,1126,1128,507,532
11,12,2,6,96,91,50,125,3901,34,512,101,120,456,578,1121,1161,502,552
11,14,1,5,106,88,45,135,3988,37,519,124,120,440,566,1161,1175,510,564
11,15,2,5,108,98,45,125,4006,32,524,120,107,451,588,1208,1175,505,554
11,16,0,6,98,95,45,114,4050,26,522,107,106,449,573,1189,1171,508,523
11,17,2,9,96,93,41,130,4055,28,517,107,110,439,569,1192,1180,514,524
11,18,1,4,117,92,53,122,4047,33,518,106,117,455,556,1193,1163,502,530
11,19,1,2,123,98,53,130,4041,43,512,107,127,446,530,1170,1183,501,509
11,20,1,1,107,98,42,129,4031,32,520,102,109,426,525,1177,1158,487,509
11,21,3,2,105,84,64,127,4019,36,520,152,106,425,543,1167,1175,500,496
11,22,1,4,101,89,230,127,4012,115,502,520,103,421,539,1151,1182,504,497
11,23,1,1,91,88,170,121,3918,70,507,381,88,413,512,1139,1152,501,502
12,0,2,0,86,69,142,102,3784,117,493,506,86,405,508,1067,1144,487,485
12,1,1,4,70,57,54,79,3553,30,466,263,61,380,456,977,1049,462,475
12,2,1,1,0,0,0,0,3195,0,407,0,0,331,389,877,924,404,427
12,16,3,1,43,40,91,53,3569,59,412,195,85,335,446,999,994,421,392
12,17,0,0,0,0,72,0,0,80,0,337,87,0,0,0,0,0,0
12,18,1,3,0,0,65,0,3010,58,353,136,72,0,0,0,0,0,0
12,19,0,0,0,0,58,0,0,72,0,154,82,0,0,0,0,0,0
12,20,0,0,0,0,19,0,0,22,0,52,31,0,0,0,0,0,0
12,22,0,0,0,0,22,0,0,23,0,52,35,0,0,0,0,0,0
12,23,0,0,0,0,50,0,0,34,0,85,47,0,0,0,0,0,0
13,0,0,0,0,0,23,0,0,18,0,62,29,0,0,0,0,0,0
13,1,0,0,40,21,22,50,0,23,0,57,36,0,0,0,0,0,0
13,3,0,0,0,0,18,0,0,18,0,76,26,0,0,0,0,0,0
13,7,0,0,45,43,0,56,0,0,0,0,0,190,232,548,540,213,246
13,8,0,0,37,34,0,39,0,0,0,0,0,0,0,0,0,0,0
13,9,0,0,73,81,0,87,0,0,0,0,0,0,0,0,0,0,0
13,10,0,0,80,66,0,88,0,0,0,0,0,0,0,0,0,0,0
