day,hour,BLK13_GE1,BLK20_GE1,EH,KE7,KFH,KR,PGP,RH,RVR,SH,TMH,UT_A,UT_C,UT_GRN,UT_GRS,UT_K,UT_T
11,9,8,9,73,103,38,106,3422,48,461,87,89,427,526,1032,1034,528,503
11,10,6,10,77,92,38,115,3655,48,500,85,102,473,594,1127,1122,544,542
11,11,8,12,89,106,55,122,3827,35,507,94,96,474,574,1175,1188,528,547
11,12,6,11,99,94,53,136,3915,39,519,104,121,484,615,1209,1228,522,571
11,14,6,13,108,93,49,143,3996,42,523,128,120,458,599,1244,1233,523,589
11,15,7,6,110,101,47,136,4024,33,531,123,107,475,605,1269,1233,524,567
11,16,5,10,99,96,45,120,4063,28,532,111,106,454,587,1241,1222,531,534
11,17,9,12,96,96,42,138,4074,31,522,112,110,459,582,1254,1255,537,546
11,18,7,12,118,97,55,132,4069,37,527,111,117,494,585,1267,1264,538,559
11,19,7,10,127,107,55,137,4053,44,523,112,127,480,564,1252,1276,526,545
11,20,7,10,108,104,43,135,4042,35,525,107,110,447,551,1244,1231,516,533
11,21,10,12,107,91,69,132,4027,38,532,158,106,443,561,1225,1235,521,517
11,22,8,10,101,95,239,135,4021,121,510,531,103,450,554,1211,1240,523,525
11,23,8,12,92,90,176,124,3923,73,511,397,89,431,529,1197,1211,510,509
12,0,8,11,86,69,146,108,3787,122,493,512,86,409,515,1110,1185,492,506
12,1,5,12,70,57,55,81,3555,31,466,266,61,382,462,1010,1077,465,480
12,2,3,8,0,0,0,0,3196,0,407,0,0,332,392,900,943,405,432
12,16,4,4,43,40,94,54,3571,62,412,197,85,346,450,1022,1008,427,395
12,17,0,0,0,0,74,0,0,83,0,337,87,0,0,0,0,0,0
12,18,1,5,0,0,65,0,3012,64,353,137,72,0,0,0,0,0,0
12,19,0,0,0,0,59,0,0,73,0,154,82,0,0,0,0,0,0
12,20,0,0,0,0,19,0,0,22,0,52,31,0,0,0,0,0,0
12,22,0,0,0,0,22,0,0,23,0,52,35,0,0,0,0,0,0
12,23,0,0,0,0,51,0,0,36,0,85,47,0,0,0,0,0,0
13,0,0,0,0,0,24,0,0,19,0,62,29,0,0,0,0,0,0
13,1,0,0,40,21,22,51,0,23,0,57,36,0,0,0,0,0,0
13,3,0,0,0,0,19,0,0,18,0,76,26,0,0,0,0,0,0
13,7,0,0,45,43,0,56,0,0,0,0,0,190,235,548,543,213,246
13,8,0,0,37,34,0,39,0,0,0,0,0,0,0,0,0,0,0
13,9,0,0,73,81,0,87,0,0,0,0,0,0,0,0,0,0,0
13,10,0,0,80,66,0,88,0,0,0,0,0,0,0,0,0,0,0
