day,hour,BLK13_GE1,BLK20_GE1,EH,KE7,KFH,KR,PGP,RH,RVR,SH,TMH,UT_A,UT_C,UT_GRN,UT_GRS,UT_K,UT_T
11,9,7,6,0,5,4,6,8,4,5,1,0,30,26,31,33,57,10
11,10,4,8,2,2,2,7,8,2,6,2,0,41,46,43,28,45,16
11,11,7,9,0,9,4,15,14,3,7,3,1,19,10,49,60,21,15
11,12,4,5,3,3,3,11,14,5,7,3,1,28,37,88,67,20,19
11,14,5,8,2,5,4,8,8,5,4,4,0,18,33,83,58,13,25
11,15,5,1,2,3,2,11,18,1,7,3,0,24,17,61,58,19,13
11,16,5,4,1,1,0,6,13,2,10,4,0,5,14,52,51,23,11
11,17,7,3,0,3,1,8,19,3,5,5,0,20,13,62,75,23,22
11,18,6,8,1,5,2,10,22,4,9,5,0,39,29,74,101,36,29
11,19,6,8,4,9,2,7,12,1,11,5,0,34,34,82,93,25,36
11,20,6,9,1,6,1,6,11,3,5,5,1,21,26,67,73,29,24
11,21,7,10,2,7,5,5,8,2,12,6,0,18,18,58,60,21,21
11,22,7,6,0,6,9,8,9,6,8,11,0,29,15,60,58,19,28
11,23,7,11,1,2,6,3,5,3,4,16,1,18,17,58,59,9,7
12,0,6,11,0,0,4,6,3,5,0,6,0,4,7,43,41,5,21
12,1,4,8,0,0,1,2,2,1,0,3,0,2,6,33,28,3,5
12,2,2,7,0,0,0,0,1,0,0,0,0,1,3,23,19,1,5
12,16,1,3,0,0,3,1,2,3,0,2,0,11,4,23,14,6,3
12,17,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
12,18,0,2,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0
12,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,23,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
