dorm,day,hour,uniqueDevices
SH,5,0,20
SH,5,1,19
SH,5,2,16
SH,5,3,6
SH,5,4,6
SH,5,5,7
SH,5,6,4
SH,5,7,5
SH,5,8,5
SH,5,9,9
SH,5,10,12
SH,5,11,12
SH,5,12,27
SH,5,13,25
SH,5,14,29
SH,5,15,31
SH,5,16,25
SH,5,17,31
SH,5,18,34
SH,5,19,41
SH,5,20,48
SH,5,21,23
SH,5,22,32
SH,5,23,29
SH,5,24,496
RVRTB,6,0,17
RVRTB,6,1,17
RVRTB,6,2,11
RVRTB,6,3,9
RVRTB,6,4,8
RVRTB,6,5,6
RVRTB,6,6,7
RVRTB,6,7,10
RVRTB,6,8,16
RVRTB,6,9,27
RVRTB,6,10,43
RVRTB,6,11,49
RVRTB,6,12,39
RVRTB,6,13,55
RVRTB,6,14,45
RVRTB,6,15,55
RVRTB,6,16,46
RVRTB,6,17,43
RVRTB,6,18,36
RVRTB,6,19,50
RVRTB,6,20,33
RVRTB,6,21,32
RVRTB,6,22,21
RVRTB,6,23,17
RVRTB,6,24,692
SH,6,0,29
SH,6,1,19
SH,6,2,23
SH,6,3,12
SH,6,4,8
SH,6,5,9
SH,6,6,4
SH,6,7,17
SH,6,8,18
SH,6,9,47
SH,6,10,47
SH,6,11,47
SH,6,12,66
SH,6,13,62
SH,6,14,64
SH,6,15,56
SH,6,16,60
SH,6,17,52
SH,6,18,75
SH,6,19,78
SH,6,20,62
SH,6,21,49
SH,6,22,43
SH,6,23,31
SH,6,24,978
GRN,7,0,40
GRN,7,1,21
GRN,7,2,18
GRN,7,3,17
GRN,7,4,6
GRN,7,5,3
GRN,7,6,5
GRN,7,7,10
GRN,7,8,19
GRN,7,9,35
GRN,7,10,47
GRN,7,11,79
GRN,7,12,138
GRN,7,13,119
GRN,7,14,78
GRN,7,15,72
GRN,7,16,77
GRN,7,17,94
GRN,7,18,117
GRN,7,19,118
GRN,7,20,98
GRN,7,21,64
GRN,7,22,70
GRN,7,23,58
GRN,7,24,1403
PGPH2,8,0,1
PGPH2,8,1,1
PGPH2,8,2,1
PGPH2,8,3,1
PGPH2,8,4,1
PGPH2,8,5,1
PGPH2,8,6,1
PGPH2,8,7,2
PGPH2,8,8,6
PGPH2,8,9,4
PGPH2,8,10,3
PGPH2,8,11,4
PGPH2,8,12,6
PGPH2,8,13,5
PGPH2,8,14,11
PGPH2,8,15,10
PGPH2,8,16,9
PGPH2,8,17,10
PGPH2,8,18,4
PGPH2,8,19,4
PGPH2,8,20,5
PGPH2,8,21,0
PGPH2,8,22,0
PGPH2,8,23,0
PGPH2,8,24,90
PGPH5,8,0,1
PGPH5,8,1,1
PGPH5,8,2,1
PGPH5,8,3,1
PGPH5,8,4,1
PGPH5,8,5,1
PGPH5,8,6,1
PGPH5,8,7,3
PGPH5,8,8,4
PGPH5,8,9,3
PGPH5,8,10,5
PGPH5,8,11,4
PGPH5,8,12,2
PGPH5,8,13,3
PGPH5,8,14,2
PGPH5,8,15,2
PGPH5,8,16,2
PGPH5,8,17,2
PGPH5,8,18,3
PGPH5,8,19,1
PGPH5,8,20,5
PGPH5,8,21,0
PGPH5,8,22,0
PGPH5,8,23,0
PGPH5,8,24,48
RVRTB,5,0,21
RVRTB,5,1,14
RVRTB,5,2,6
RVRTB,5,3,5
RVRTB,5,4,3
RVRTB,5,5,0
RVRTB,5,6,0
RVRTB,5,7,1
RVRTB,5,8,3
RVRTB,5,9,8
RVRTB,5,10,8
RVRTB,5,11,18
RVRTB,5,12,28
RVRTB,5,13,35
RVRTB,5,14,35
RVRTB,5,15,30
RVRTB,5,16,29
RVRTB,5,17,49
RVRTB,5,18,32
RVRTB,5,19,32
RVRTB,5,20,24
RVRTB,5,21,32
RVRTB,5,22,29
RVRTB,5,23,25
RVRTB,5,24,467
GRN,5,0,38
GRN,5,1,20
