day,hour,GRN,PGPH2,PGPH5,RVRTB,SH
5,0,2,0,4,7,12
5,1,6,0,5,0,0
5,2,0,0,0,0,2
5,3,1,0,0,0,0
5,4,0,0,0,0,2
5,5,16,0,7,0,0
5,6,0,0,0,0,0
5,7,0,4,2,0,0
5,8,17,0,0,0,0
5,9,53,0,0,1,13
5,10,37,0,0,0,0
5,11,46,0,14,0,9
5,12,81,1,3,20,23
5,13,259,1,4,25,12
5,14,70,1,10,6,10
5,15,129,1,0,4,11
5,16,206,3,6,1,19
5,17,198,2,3,19,13
5,18,175,0,2,7,2
5,19,98,3,6,0,5
5,20,137,0,4,0,9
5,21,94,0,0,4,24
5,22,75,0,6,15,16
5,23,27,3,4,1,4
6,0,12,0,0,0,0
6,1,6,6,11,0,0
6,2,10,0,4,0,2
6,3,18,0,4,0,0
6,4,1,0,0,0,0
6,5,3,0,3,0,0
6,6,1,0,0,0,0
6,7,25,6,3,0,2
6,8,98,4,2,0,4
6,9,159,1,0,8,20
6,10,98,6,1,9,50
6,11,213,18,4,2,8
6,12,195,0,23,15,46
6,13,218,3,25,19,42
6,14,190,30,37,11,57
6,15,169,0,17,10,38
6,16,161,6,23,17,31
6,17,164,0,36,6,43
6,18,88,13,18,6,22
6,19,102,2,5,0,11
6,20,80,0,12,0,45
6,21,70,0,22,0,14
6,22,81,0,15,6,20
6,23,30,0,1,0,2
7,0,6,0,5,0,24
7,1,2,0,0,0,3
7,2,1,0,0,0,3
7,3,6,0,0,0,0
7,4,0,0,0,0,0
7,5,0,0,0,0,0
7,6,0,0,0,0,0
7,7,9,0,2,0,14
7,8,12,1,17,0,0
7,9,21,3,5,0,0
7,10,42,12,0,0,2
7,11,37,1,5,2,14
7,12,72,0,0,6,29
7,13,84,0,0,1,63
7,14,50,33,8,1,7
7,15,37,0,3,1,4
7,16,40,6,4,5,1
7,17,64,6,3,0,11
7,18,74,8,0,8,7
7,19,57,0,9,9,5
7,20,69,3,0,0,10
7,21,48,0,17,0,22
7,22,27,0,0,8,2
7,23,36,4,0,0,0
8,0,1,0,0,0,0
8,1,3,0,0,0,1
8,2,1,0,0,0,0
8,3,0,0,0,0,2
8,4,0,0,0,0,0
8,5,0,0,0,0,0
8,6,5,0,0,0,0
8,7,6,0,13,0,9
8,8,18,10,4,0,13
8,9,23,0,0,0,0
8,10,34,5,1,1,3
8,11,37,0,11,0,2
8,12,55,0,5,16,8
8,13,30,0,4,12,24
8,14,27,11,1,0,30
8,15,19,1,0,1,19
8,16,26,4,0,1,0
8,17,50,10,2,0,11
8,18,48,1,0,1,4
8,19,57,1,0,9,1
8,20,32,7,27,11,3
8,21,0,0,0,0,0
8,22,0,0,0,0,0
8,23,0,0,0,0,0
