day,hour,GRN,PGPH2,PGPH5,RVRTB,SH
5,0,0,0,0,0,0
5,1,0,1,1,8,4
5,2,2,1,1,5,5
5,3,0,2,1,3,5
5,4,1,2,1,3,2
5,5,1,1,1,0,3
5,6,0,1,1,0,1
5,7,0,2,1,0,2
5,8,1,2,1,0,3
5,9,7,1,2,0,3
5,10,3,1,2,2,2
5,11,13,1,2,10,6
5,12,20,1,6,9,9
5,13,50,0,5,13,6
5,14,26,1,7,21,11
5,15,53,1,6,24,14
5,16,48,1,6,15,16
5,17,52,1,9,26,14
5,18,53,2,5,20,21
5,19,71,1,7,26,16
5,20,51,2,6,11,23
5,21,37,1,9,17,11
5,22,43,3,6,19,14
5,23,27,1,6,15,9
6,0,0,0,0,0,0
6,1,6,1,1,6,5
6,2,1,2,1,8,6
6,3,1,1,1,6,7
6,4,1,3,1,3,3
6,5,0,2,1,4,6
6,6,1,3,1,4,4
6,7,1,2,2,7,4
6,8,6,1,1,7,5
6,9,6,2,2,7,11
6,10,7,2,7,18,12
6,11,21,4,9,23,22
6,12,23,4,5,21,23
6,13,26,5,3,33,18
6,14,34,8,6,27,30
6,15,37,3,3,33,32
6,16,52,7,6,26,38
6,17,54,2,10,34,36
6,18,72,2,9,25,45
6,19,58,4,9,32,43
6,20,45,2,7,25,34
6,21,50,1,8,25,33
6,22,32,2,7,17,21
6,23,25,2,4,15,19
7,0,0,0,0,0,0
7,1,1,1,0,6,4
7,2,5,1,1,7,4
7,3,4,1,1,4,4
7,4,0,2,1,6,2
7,5,2,2,1,3,2
7,6,1,2,1,3,2
7,7,0,2,1,6,2
7,8,0,1,2,7,5
7,9,4,2,3,10,12
7,10,5,4,3,7,15
7,11,11,3,1,8,18
7,12,14,5,2,13,19
7,13,15,5,1,11,27
7,14,21,3,3,13,23
7,15,27,7,2,12,28
7,16,34,4,1,6,25
7,17,42,1,1,19,37
7,18,54,3,2,16,30
7,19,66,1,1,23,41
7,20,44,1,1,15,24
7,21,31,1,1,16,21
7,22,32,1,1,14,24
7,23,31,1,0,15,20
8,0,0,0,0,0,0
8,1,1,1,1,6,7
8,2,0,1,1,2,2
8,3,1,1,1,3,3
8,4,0,1,1,4,4
8,5,0,1,1,3,3
8,6,0,1,1,3,3
8,7,0,1,1,6,2
8,8,3,1,1,4,4
8,9,6,2,2,7,9
8,10,4,1,3,7,8
8,11,13,3,2,12,9
8,12,17,4,1,14,12
8,13,31,4,1,14,23
8,14,25,6,1,14,17
8,15,33,5,1,15,18
8,16,30,3,1,14,11
8,17,58,6,1,20,27
8,18,57,1,1,19,24
8,19,53,2,0,27,23
8,20,33,2,1,20,25
8,21,0,0,0,0,0
8,22,0,0,0,0,0
8,23,0,0,0,0,0
