day,hour,GRN,PGPH2,PGPH5,RVRTB,SH
5,0,99,0,2,2,12
5,1,48,0,6,0,2
5,2,29,0,0,0,1
5,3,2,0,0,0,0
5,4,26,1,0,0,0
5,5,15,0,6,0,2
5,6,6,0,0,0,0
5,7,24,3,3,0,0
5,8,81,1,1,1,3
5,9,187,0,2,4,4
5,10,154,0,3,0,9
5,11,248,3,6,1,9
5,12,598,1,16,19,15
5,13,1040,3,7,23,8
5,14,509,0,6,8,3
5,15,311,1,0,7,5
5,16,619,0,5,15,10
5,17,736,1,10,30,11
5,18,653,0,4,21,7
5,19,599,1,7,21,11
5,20,348,0,2,3,7
5,21,193,0,1,9,8
5,22,217,0,2,11,6
5,23,90,4,18,3,5
6,0,77,0,0,1,3
6,1,89,3,4,0,1
6,2,39,3,5,0,5
6,3,33,0,7,0,0
6,4,14,0,0,1,6
6,5,4,0,3,0,0
6,6,5,0,0,0,0
6,7,47,1,2,7,1
6,8,145,7,4,6,5
6,9,211,3,3,12,12
6,10,201,1,3,41,17
6,11,386,2,10,25,33
6,12,580,0,17,21,55
6,13,504,0,19,66,19
6,14,372,16,9,26,35
6,15,295,0,8,22,43
6,16,349,3,2,16,33
6,17,345,3,15,9,33
6,18,415,2,17,23,28
6,19,467,5,4,7,24
6,20,362,1,4,3,19
6,21,264,8,20,5,5
6,22,170,1,6,4,17
6,23,124,0,2,2,4
7,0,118,0,4,2,7
7,1,36,0,0,0,5
7,2,30,0,0,2,1
7,3,30,0,0,0,0
7,4,12,0,0,0,0
7,5,29,0,0,0,0
7,6,5,0,0,0,1
7,7,46,0,1,0,4
7,8,53,5,2,4,0
7,9,103,0,1,6,6
7,10,156,17,13,8,1
7,11,233,1,5,7,12
7,12,469,2,0,12,26
7,13,484,0,0,4,47
7,14,292,4,8,10,7
7,15,221,3,1,20,7
7,16,241,2,7,4,14
7,17,297,2,1,5,16
7,18,362,1,0,26,16
7,19,476,4,1,9,7
7,20,291,3,0,3,6
7,21,157,1,5,10,12
7,22,213,0,0,8,7
7,23,178,5,0,0,2
8,0,77,0,0,1,3
8,1,58,0,0,0,2
8,2,40,0,0,0,0
8,3,17,0,0,0,2
8,4,3,0,0,0,1
8,5,0,0,0,0,0
8,6,25,0,0,0,0
8,7,15,0,2,2,1
8,8,112,7,0,2,8
8,9,83,0,0,0,1
8,10,121,0,2,3,14
8,11,270,0,8,5,1
8,12,330,0,0,15,8
8,13,431,2,2,11,24
8,14,205,12,4,4,7
8,15,215,0,0,1,6
8,16,168,3,0,3,3
8,17,403,7,3,9,16
8,18,436,4,2,8,7
8,19,446,1,0,6,6
8,20,314,6,12,14,3
8,21,0,0,0,0,0
8,22,0,0,0,0,0
8,23,0,0,0,0,0
