day,hour,GRN,PGPH2,PGPH5,RVRTB,SH
5,0,47,3,6,24,24
5,1,20,3,2,3,13
5,2,16,2,1,7,18
5,3,2,2,1,4,5
5,4,13,3,1,2,7
5,5,7,3,2,0,10
5,6,3,2,1,0,6
5,7,4,3,2,2,5
5,8,28,3,2,3,4
5,9,64,1,3,10,8
5,10,67,1,5,7,12
5,11,90,2,5,17,10
5,12,179,4,13,25,23
5,13,322,1,7,32,22
5,14,159,2,9,33,24
5,15,114,4,6,28,31
5,16,199,4,10,34,29
5,17,185,8,12,49,26
5,18,186,6,10,31,34
5,19,173,3,10,33,36
5,20,134,4,11,23,40
5,21,86,3,9,30,21
5,22,101,5,11,29,35
5,23,53,3,14,26,33
6,0,45,3,1,18,39
6,1,29,2,1,9,17
6,2,13,5,2,9,29
6,3,10,4,2,11,10
6,4,7,2,1,7,8
6,5,2,2,2,8,6
6,6,3,3,1,5,7
6,7,17,4,6,9,17
6,8,58,3,6,17,17
6,9,89,7,7,29,44
6,10,89,3,8,44,49
6,11,133,8,18,47,47
6,12,170,3,16,35,58
6,13,148,6,9,50,57
6,14,124,29,14,44,56
6,15,117,5,20,54,56
6,16,132,21,8,46,59
6,17,134,8,20,40,41
6,18,169,5,19,41,62
6,19,172,7,14,46,68
6,20,119,7,18,25,55
6,21,100,5,16,32,51
6,22,71,2,8,20,42
6,23,61,2,5,15,25
7,0,47,1,2,18,23
7,1,17,0,0,9,21
7,2,22,1,1,9,11
7,3,15,2,1,6,13
7,4,7,1,1,10,11
7,5,2,2,1,3,6
7,6,4,2,1,3,8
7,7,12,6,3,7,13
7,8,20,4,4,15,20
7,9,36,13,5,26,45
7,10,54,24,16,22,40
7,11,86,7,4,19,38
7,12,163,6,4,22,58
7,13,133,8,1,21,57
7,14,86,11,6,26,40
7,15,80,16,3,17,46
7,16,82,11,5,17,39
7,17,107,5,2,16,43
7,18,145,12,2,27,44
7,19,136,11,2,32,52
7,20,108,9,1,22,33
7,21,66,4,3,19,30
7,22,82,2,1,18,22
7,23,58,3,1,21,20
8,0,27,1,1,21,22
8,1,31,0,0,6,18
8,2,17,1,1,4,11
8,3,11,1,1,4,8
8,4,2,1,1,4,6
8,5,0,1,1,4,5
8,6,4,1,1,3,9
8,7,11,2,3,10,18
8,8,39,8,5,18,33
8,9,36,4,3,11,21
8,10,54,5,5,17,18
8,11,98,6,5,20,25
8,12,117,8,3,17,38
8,13,138,5,3,24,41
8,14,82,26,2,22,34
8,15,90,21,2,17,28
8,16,82,12,1,15,19
8,17,128,22,2,22,34
8,18,148,7,3,25,31
8,19,151,5,1,38,36
8,20,98,6,5,19,28
8,21,0,0,0,0,0
8,22,0,0,0,0,0
8,23,0,0,0,0,0
