day,hour,GRN,PGPH2,PGPH5,RVRTB,SH
5,0,38,2,4,21,20
5,1,20,2,3,14,19
5,2,14,2,1,6,16
5,3,2,2,1,5,6
5,4,13,2,1,3,6
5,5,7,2,2,0,7
5,6,3,2,1,0,4
5,7,4,3,2,1,5
5,8,26,2,2,3,5
5,9,60,1,4,8,9
5,10,65,1,5,8,12
5,11,82,2,8,18,12
5,12,161,2,10,28,27
5,13,271,2,8,35,25
5,14,142,2,10,35,29
5,15,115,2,7,30,31
5,16,178,3,9,29,25
5,17,162,5,11,49,31
5,18,168,3,9,32,34
5,19,149,3,10,32,41
5,20,116,2,9,24,48
5,21,71,3,9,32,23
5,22,94,3,9,29,32
5,23,52,3,9,25,29
6,0,41,2,1,17,29
6,1,28,4,2,17,19
6,2,11,4,2,11,23
6,3,9,3,2,9,12
6,4,6,3,1,8,8
6,5,2,2,2,6,9
6,6,3,3,1,7,4
6,7,17,3,3,10,17
6,8,59,3,5,16,18
6,9,84,6,8,27,47
6,10,83,5,12,43,47
6,11,127,6,13,49,47
6,12,158,5,14,39,66
6,13,144,6,10,55,62
6,14,121,15,9,45,64
6,15,107,6,13,55,56
6,16,124,8,10,46,60
6,17,124,5,18,43,52
6,18,146,5,16,36,75
6,19,155,6,11,50,78
6,20,110,3,12,33,62
6,21,92,3,15,32,49
6,22,65,3,8,21,43
6,23,57,2,4,17,31
7,0,40,1,2,17,21
7,1,21,1,1,15,18
7,2,18,1,1,13,14
7,3,17,2,1,7,8
7,4,6,2,1,8,6
7,5,3,2,1,3,5
7,6,5,2,1,3,4
7,7,10,3,2,8,11
7,8,19,5,5,14,18
7,9,35,9,5,20,41
7,10,47,17,6,19,31
7,11,79,6,4,19,37
7,12,138,7,2,19,51
7,13,119,6,1,18,61
7,14,78,7,5,20,44
7,15,72,9,3,17,48
7,16,77,7,4,15,38
7,17,94,4,2,24,50
7,18,117,6,3,27,43
7,19,118,6,2,29,62
7,20,98,6,1,20,35
7,21,64,2,3,18,32
7,22,70,2,1,19,32
7,23,58,2,1,19,23
8,0,23,1,1,18,22
8,1,24,1,1,12,16
8,2,16,1,1,6,9
8,3,8,1,1,6,8
8,4,2,1,1,4,7
8,5,0,1,1,4,3
8,6,4,1,1,3,5
8,7,11,2,3,9,11
8,8,35,6,4,15,23
8,9,37,4,3,14,24
8,10,48,3,5,18,19
8,11,84,4,4,17,27
8,12,107,6,2,22,35
8,13,127,5,3,26,45
8,14,79,11,2,19,30
8,15,76,10,2,22,29
8,16,73,9,2,17,16
8,17,112,10,2,25,39
8,18,123,4,3,28,37
8,19,129,4,1,38,43
8,20,83,5,5,22,36
8,21,0,0,0,0,0
8,22,0,0,0,0,0
8,23,0,0,0,0,0
