name,parent,value
MD6,e1bc,2047
S16CTN,e1bc,562
YNCRC2,7a17,3585
CLIB,18ad,3094
SH,cf0a,3309
UT-BS,c0ad,217
VEN-BS,c0ad,117
YIH-BS,c0ad,114
AS8-BS,c0ad,40
AS4,c0ad,140
AS2,c0ad,375
CREATE,c0ad,2371
AS1,c0ad,148
YNCRC1,0a1a,2993
S11,67ba,3593
E3,34f4,3538
UT-BS,fd31,3326
E1,0b74,2743
YNCRC3,ae1d,3077
YNCRC1,41d3,3252
E2,b0cd,1459
YNCRC1,2536,3560
E5,38fb,178
MUSM-BS,f8a8,945
UT-BS,f8a8,26
E3,9780,1661
RH-BS,9780,435
RC4,9780,1139
CREATE,9780,290
UNK,9780,70
MD1,74f5,3579
UHC-BS,2428,178
E2,3882,3268
S16,8ab2,3496
MD6,928c,3178
MD11,928c,78
TMSI,f26c,3383
EA,d126,3392
S16,7a6a,3389
E2,9a2f,985
YNCRC1,afa6,3550
E1A,e715,3363
CRECTN,8b2c,833
UT-BS,8b2c,746
VEN-BS,8b2c,90
YIH-BS,8b2c,94
COM2-BS,8b2c,431
CREATE,8b2c,127
LT4,8b2c,17
UT-BS,83fc,422
BIZ2,83fc,62
GRS,83fc,57
AS8-BS,83fc,39
COM2-BS,83fc,141
BIZ2-BS,83fc,166
IT-BS,83fc,177
CREATE,83fc,62
GRN,83fc,2041
BIZ1,83fc,372
ARTSCTN,83fc,26
KV-BS,6dd2,2461
AS8-BS,6dd2,62
MUSM-BS,6dd2,50
IT-BS,6dd2,57
AS2,6dd2,396
AS1,6dd2,70
S17,2afd,1261
E4A,34ba,3431
MD11,654c,3518
BTC-BS,c232,252
LT11,7a5a,62
VEN-BS,7a5a,61
AS2,7a5a,633
BIZ1,7a5a,41
OHSSL-BS,7a5a,80
LT12,7a5a,167
PGPH7-BS,7a5a,39
PGP-BS,7a5a,1981
AS1,7a5a,231
ARTSCTN,7a5a,255
RC4,4ed8,2496
T-LAB,fd61,2661
YNCRC1,a20c,3593
YNCRC2,e1ed,3168
YIH,d27c,3538
MD6,1af4,527
LT19,a0e0,3258
AS8-BS,a0e0,51
ARTSCTN,a0e0,103
E4,069f,3224
S14,9175,3174
LT27,19b2,3587
